DATE_MONTH,YEAR,MONTH,TEMP,RAINFALL,HUMIDITY
1990-01-01,1990.0,1.0,30.15,0.07,9.11
1990-02-01,1990.0,2.0,30.31,0.07,9.16
1990-03-01,1990.0,3.0,33.02,0.0,8.94
1990-04-01,1990.0,4.0,38.5,0.34,9.35
1990-05-01,1990.0,5.0,36.0,51.73,18.6
1990-06-01,1990.0,6.0,31.9,257.94,20.63
1990-07-01,1990.0,7.0,28.85,80.88,20.51
1990-08-01,1990.0,8.0,27.32,208.0,21.09
1990-09-01,1990.0,9.0,28.09,36.76,20.61
1990-10-01,1990.0,10.0,28.15,114.38,19.55
1990-11-01,1990.0,11.0,28.7,13.92,14.93
1990-12-01,1990.0,12.0,27.41,6.01,12.58
1991-01-01,1991.0,1.0,27.9,0.07,10.12
1991-02-01,1991.0,2.0,30.72,0.07,9.18
1991-03-01,1991.0,3.0,35.12,0.0,8.51
1991-04-01,1991.0,4.0,37.24,3.96,12.19
1991-05-01,1991.0,5.0,39.82,8.99,15.7
1991-06-01,1991.0,6.0,32.2,161.07,21.2
1991-07-01,1991.0,7.0,27.98,113.9,21.71
1991-08-01,1991.0,8.0,27.65,56.13,20.75
1991-09-01,1991.0,9.0,30.91,11.19,19.23
1991-10-01,1991.0,10.0,33.15,10.37,11.58
1991-11-01,1991.0,11.0,29.14,10.82,13.07
1991-12-01,1991.0,12.0,27.69,5.55,9.17
1992-01-01,1992.0,1.0,28.68,0.08,8.2
1992-02-01,1992.0,2.0,28.9,0.09,8.51
1992-03-01,1992.0,3.0,34.63,0.08,8.96
1992-04-01,1992.0,4.0,37.26,1.39,10.55
1992-05-01,1992.0,5.0,39.39,0.58,14.53
1992-06-01,1992.0,6.0,34.56,69.96,19.39
1992-07-01,1992.0,7.0,29.83,59.51,21.5
1992-08-01,1992.0,8.0,27.41,148.9,21.7
1992-09-01,1992.0,9.0,28.99,143.13,19.84
1992-10-01,1992.0,10.0,29.9,44.75,17.41
1992-11-01,1992.0,11.0,28.69,7.78,14.06
1992-12-01,1992.0,12.0,27.73,0.0,10.01
1993-01-01,1993.0,1.0,29.01,0.37,9.96
1993-02-01,1993.0,2.0,30.41,0.09,6.75
1993-03-01,1993.0,3.0,33.2,3.78,8.87
1993-04-01,1993.0,4.0,37.86,0.42,9.3
1993-05-01,1993.0,5.0,39.93,4.73,14.85
1993-06-01,1993.0,6.0,33.58,61.52,20.53
1993-07-01,1993.0,7.0,28.05,132.52,21.87
1993-08-01,1993.0,8.0,28.11,99.39,21.3
1993-09-01,1993.0,9.0,27.8,161.31,21.29
1993-10-01,1993.0,10.0,29.0,171.09,20.28
1993-11-01,1993.0,11.0,28.48,11.51,14.08
1993-12-01,1993.0,12.0,25.96,7.15,10.52
1994-01-01,1994.0,1.0,28.17,0.24,11.93
1994-02-01,1994.0,2.0,29.63,0.07,8.97
1994-03-01,1994.0,3.0,36.22,0.0,8.56
1994-04-01,1994.0,4.0,36.27,2.36,12.81
1994-05-01,1994.0,5.0,40.02,26.27,15.08
1994-06-01,1994.0,6.0,31.67,116.44,20.95
1994-07-01,1994.0,7.0,27.66,89.92,21.63
1994-08-01,1994.0,8.0,27.35,118.77,21.27
1994-09-01,1994.0,9.0,27.97,119.89,19.88
1994-10-01,1994.0,10.0,30.63,36.37,16.77
1994-11-01,1994.0,11.0,27.69,18.69,15.33
1994-12-01,1994.0,12.0,26.9,0.0,10.41
1995-01-01,1995.0,1.0,25.39,0.29,10.05
1995-02-01,1995.0,2.0,29.89,0.22,10.86
1995-03-01,1995.0,3.0,32.78,1.95,12.72
1995-04-01,1995.0,4.0,37.27,3.2,10.49
1995-05-01,1995.0,5.0,37.73,6.51,16.35
1995-06-01,1995.0,6.0,36.47,72.71,20.06
1995-07-01,1995.0,7.0,29.85,128.65,21.92
1995-08-01,1995.0,8.0,29.79,78.99,21.37
1995-09-01,1995.0,9.0,29.46,144.07,21.36
1995-10-01,1995.0,10.0,30.43,40.24,18.5
1995-11-01,1995.0,11.0,29.49,7.94,12.0
1995-12-01,1995.0,12.0,28.64,0.0,11.75
1996-01-01,1996.0,1.0,29.01,0.08,12.59
1996-02-01,1996.0,2.0,31.03,0.07,10.9
1996-03-01,1996.0,3.0,35.61,0.0,11.12
1996-04-01,1996.0,4.0,37.67,0.68,11.08
1996-05-01,1996.0,5.0,39.66,1.17,14.66
1996-06-01,1996.0,6.0,34.56,49.69,20.5
1996-07-01,1996.0,7.0,29.15,141.86,21.78
1996-08-01,1996.0,8.0,27.6,120.46,21.4
1996-09-01,1996.0,9.0,28.61,147.44,21.34
1996-10-01,1996.0,10.0,28.88,86.89,18.13
1996-11-01,1996.0,11.0,29.19,9.93,13.02
1996-12-01,1996.0,12.0,27.82,0.0,10.3
1997-01-01,1997.0,1.0,26.72,0.15,9.75
1997-02-01,1997.0,2.0,30.0,0.07,7.46
1997-03-01,1997.0,3.0,34.71,0.0,9.79
1997-04-01,1997.0,4.0,35.68,2.4,11.58
1997-05-01,1997.0,5.0,38.39,0.58,14.6
1997-06-01,1997.0,6.0,33.02,85.28,20.97
1997-07-01,1997.0,7.0,29.32,71.87,21.74
1997-08-01,1997.0,8.0,28.6,66.19,21.25
1997-09-01,1997.0,9.0,30.7,58.39,20.23
1997-10-01,1997.0,10.0,30.94,19.84,17.37
1997-11-01,1997.0,11.0,29.15,39.66,18.42
1997-12-01,1997.0,12.0,26.19,9.36,16.56
1998-01-01,1998.0,1.0,28.69,0.06,12.97
1998-02-01,1998.0,2.0,29.64,0.07,9.79
1998-03-01,1998.0,3.0,34.42,0.07,10.45
1998-04-01,1998.0,4.0,39.28,0.32,11.88
1998-05-01,1998.0,5.0,40.46,5.65,16.04
1998-06-01,1998.0,6.0,35.51,110.58,20.71
1998-07-01,1998.0,7.0,29.73,96.37,21.96
1998-08-01,1998.0,8.0,28.73,139.12,22.35
1998-09-01,1998.0,9.0,28.42,265.13,22.12
1998-10-01,1998.0,10.0,28.91,147.53,20.09
1998-11-01,1998.0,11.0,28.06,51.61,15.51
1998-12-01,1998.0,12.0,27.17,0.0,9.48
1999-01-01,1999.0,1.0,27.34,0.07,9.19
1999-02-01,1999.0,2.0,30.7,4.32,13.14
1999-03-01,1999.0,3.0,35.35,0.08,9.06
1999-04-01,1999.0,4.0,39.55,0.88,10.23
1999-05-01,1999.0,5.0,37.65,26.92,17.64
1999-06-01,1999.0,6.0,31.47,173.56,21.07
1999-07-01,1999.0,7.0,28.56,70.49,21.67
1999-08-01,1999.0,8.0,28.04,71.22,21.01
1999-09-01,1999.0,9.0,28.1,171.47,21.22
1999-10-01,1999.0,10.0,29.21,90.29,18.48
1999-11-01,1999.0,11.0,29.65,8.52,11.92
1999-12-01,1999.0,12.0,27.47,5.22,9.71
2000-01-01,2000.0,1.0,28.26,0.07,10.67
2000-02-01,2000.0,2.0,28.53,0.07,10.77
2000-03-01,2000.0,3.0,33.97,0.55,6.75
2000-04-01,2000.0,4.0,39.28,0.08,11.98
2000-05-01,2000.0,5.0,36.16,45.46,18.49
2000-06-01,2000.0,6.0,30.96,127.01,21.7
2000-07-01,2000.0,7.0,28.03,111.84,21.25
2000-08-01,2000.0,8.0,28.39,168.33,21.35
2000-09-01,2000.0,9.0,29.65,44.22,20.77
2000-10-01,2000.0,10.0,33.03,19.86,15.39
2000-11-01,2000.0,11.0,31.16,8.29,11.05
2000-12-01,2000.0,12.0,29.06,6.86,6.3
2001-01-01,2001.0,1.0,28.53,0.13,10.57
2001-02-01,2001.0,2.0,32.07,0.06,7.97
2001-03-01,2001.0,3.0,34.12,0.0,10.37
2001-04-01,2001.0,4.0,37.31,0.07,10.86
2001-05-01,2001.0,5.0,38.55,3.0,17.07
2001-06-01,2001.0,6.0,31.4,128.37,20.88
2001-07-01,2001.0,7.0,29.51,42.42,21.0
2001-08-01,2001.0,8.0,27.52,135.3,21.33
2001-09-01,2001.0,9.0,30.26,91.11,21.12
2001-10-01,2001.0,10.0,29.77,110.19,18.13
2001-11-01,2001.0,11.0,30.08,8.51,11.8
2001-12-01,2001.0,12.0,28.72,0.44,10.77
2002-01-01,2002.0,1.0,27.26,0.07,9.12
2002-02-01,2002.0,2.0,30.82,0.06,12.08
2002-03-01,2002.0,3.0,34.94,2.17,9.15
2002-04-01,2002.0,4.0,39.07,4.58,10.72
2002-05-01,2002.0,5.0,39.12,8.72,18.05
2002-06-01,2002.0,6.0,32.81,117.65,21.15
2002-07-01,2002.0,7.0,29.3,15.16,21.17
2002-08-01,2002.0,8.0,26.9,144.16,21.41
2002-09-01,2002.0,9.0,28.99,65.6,20.26
2002-10-01,2002.0,10.0,31.77,23.21,15.0
2002-11-01,2002.0,11.0,30.39,7.14,11.27
2002-12-01,2002.0,12.0,29.67,0.0,11.17
2003-01-01,2003.0,1.0,28.83,1.51,11.27
2003-02-01,2003.0,2.0,31.57,0.07,12.12
2003-03-01,2003.0,3.0,35.18,0.0,7.97
2003-04-01,2003.0,4.0,38.07,4.79,12.81
2003-05-01,2003.0,5.0,39.71,1.14,14.34
2003-06-01,2003.0,6.0,33.48,105.79,20.98
2003-07-01,2003.0,7.0,28.98,105.21,22.02
2003-08-01,2003.0,8.0,27.93,99.89,21.45
2003-09-01,2003.0,9.0,28.23,74.58,20.99
2003-10-01,2003.0,10.0,31.14,18.16,15.99
2003-11-01,2003.0,11.0,31.21,10.43,13.42
2003-12-01,2003.0,12.0,28.8,4.55,10.41
2004-01-01,2004.0,1.0,28.64,0.07,10.86
2004-02-01,2004.0,2.0,31.63,0.06,9.15
2004-03-01,2004.0,3.0,37.32,0.0,6.95
2004-04-01,2004.0,4.0,39.35,2.66,11.26
2004-05-01,2004.0,5.0,38.44,24.42,17.38
2004-06-01,2004.0,6.0,33.31,62.26,20.75
2004-07-01,2004.0,7.0,29.58,103.73,21.28
2004-08-01,2004.0,8.0,27.16,80.82,21.24
2004-09-01,2004.0,9.0,28.57,181.89,21.48
2004-10-01,2004.0,10.0,28.7,36.11,17.5
2004-11-01,2004.0,11.0,28.87,17.99,14.56
2004-12-01,2004.0,12.0,28.48,0.0,10.58
2005-01-01,2005.0,1.0,27.92,0.14,10.11
2005-02-01,2005.0,2.0,31.25,0.06,9.87
2005-03-01,2005.0,3.0,34.56,1.46,9.13
2005-04-01,2005.0,4.0,38.26,5.41,8.49
2005-05-01,2005.0,5.0,39.28,5.58,14.43
2005-06-01,2005.0,6.0,34.95,60.27,20.52
2005-07-01,2005.0,7.0,28.56,224.43,21.84
2005-08-01,2005.0,8.0,28.1,95.86,21.36
2005-09-01,2005.0,9.0,28.57,219.34,21.82
2005-10-01,2005.0,10.0,29.95,77.17,16.97
2005-11-01,2005.0,11.0,29.74,9.12,10.83
2005-12-01,2005.0,12.0,27.73,0.0,9.9
2006-01-01,2006.0,1.0,29.1,0.06,9.34
2006-02-01,2006.0,2.0,32.7,0.06,9.86
2006-03-01,2006.0,3.0,33.1,10.1,10.97
2006-04-01,2006.0,4.0,38.36,0.07,10.6
2006-05-01,2006.0,5.0,39.54,40.0,15.97
2006-06-01,2006.0,6.0,33.41,134.61,20.93
2006-07-01,2006.0,7.0,28.0,141.73,21.79
2006-08-01,2006.0,8.0,26.88,245.09,21.51
2006-09-01,2006.0,9.0,28.85,221.56,22.38
2006-10-01,2006.0,10.0,29.6,87.12,19.13
2006-11-01,2006.0,11.0,28.77,35.62,16.54
2006-12-01,2006.0,12.0,28.66,0.0,12.96
2007-01-01,2007.0,1.0,29.55,0.06,11.18
2007-02-01,2007.0,2.0,30.77,0.06,11.21
2007-03-01,2007.0,3.0,34.73,0.0,10.01
2007-04-01,2007.0,4.0,38.63,0.16,11.26
2007-05-01,2007.0,5.0,38.68,5.5,16.91
2007-06-01,2007.0,6.0,33.12,142.55,22.21
2007-07-01,2007.0,7.0,29.02,180.65,22.04
2007-08-01,2007.0,8.0,28.03,168.08,21.95
2007-09-01,2007.0,9.0,28.59,186.43,22.13
2007-10-01,2007.0,10.0,30.64,9.42,14.61
2007-11-01,2007.0,11.0,29.96,13.29,12.5
2007-12-01,2007.0,12.0,28.68,1.69,12.91
2008-01-01,2008.0,1.0,28.52,0.06,10.33
2008-02-01,2008.0,2.0,29.47,0.06,8.88
2008-03-01,2008.0,3.0,34.21,0.53,11.83
2008-04-01,2008.0,4.0,38.1,1.4,11.1
2008-05-01,2008.0,5.0,38.56,0.06,16.28
2008-06-01,2008.0,6.0,32.31,53.44,20.36
2008-07-01,2008.0,7.0,30.76,71.59,20.84
2008-08-01,2008.0,8.0,28.14,151.27,21.34
2008-09-01,2008.0,9.0,28.1,292.57,21.34
2008-10-01,2008.0,10.0,30.58,33.12,16.87
2008-11-01,2008.0,11.0,30.34,10.03,14.01
2008-12-01,2008.0,12.0,29.59,6.59,12.24
2009-01-01,2009.0,1.0,29.99,0.24,12.06
2009-02-01,2009.0,2.0,32.66,0.06,10.3
2009-03-01,2009.0,3.0,35.3,3.75,9.98
2009-04-01,2009.0,4.0,38.58,0.69,9.68
2009-05-01,2009.0,5.0,39.67,12.94,15.75
2009-06-01,2009.0,6.0,35.96,62.28,20.17
2009-07-01,2009.0,7.0,28.24,136.32,22.01
2009-08-01,2009.0,8.0,28.82,98.91,21.54
2009-09-01,2009.0,9.0,30.05,132.32,21.98
2009-10-01,2009.0,10.0,29.85,68.63,16.87
2009-11-01,2009.0,11.0,27.47,77.05,16.65
2009-12-01,2009.0,12.0,27.63,0.0,13.88
2010-01-01,2010.0,1.0,27.99,0.09,11.11
2010-02-01,2010.0,2.0,31.28,0.16,12.51
2010-03-01,2010.0,3.0,36.42,4.33,11.1
2010-04-01,2010.0,4.0,39.91,3.93,11.28
2010-05-01,2010.0,5.0,41.03,7.15,15.05
2010-06-01,2010.0,6.0,33.87,149.22,21.57
2010-07-01,2010.0,7.0,28.46,165.76,22.28
2010-08-01,2010.0,8.0,28.14,213.54,22.18
2010-09-01,2010.0,9.0,28.74,162.02,21.98
2010-10-01,2010.0,10.0,29.58,96.29,19.99
2010-11-01,2010.0,11.0,28.61,84.32,19.71
2010-12-01,2010.0,12.0,27.43,0.0,11.26
2011-01-01,2011.0,1.0,28.94,0.06,8.66
2011-02-01,2011.0,2.0,30.63,0.07,11.24
2011-03-01,2011.0,3.0,34.99,0.0,9.26
2011-04-01,2011.0,4.0,37.73,1.62,11.84
2011-05-01,2011.0,5.0,39.12,6.7,16.29
2011-06-01,2011.0,6.0,32.15,71.27,21.42
2011-07-01,2011.0,7.0,28.93,174.79,21.99
2011-08-01,2011.0,8.0,27.59,157.13,22.09
2011-09-01,2011.0,9.0,28.21,127.37,21.34
2011-10-01,2011.0,10.0,30.79,70.62,17.72
2011-11-01,2011.0,11.0,30.44,5.75,13.43
2011-12-01,2011.0,12.0,29.16,0.0,10.71
2012-01-01,2012.0,1.0,28.14,0.07,9.07
2012-02-01,2012.0,2.0,31.66,0.06,7.99
2012-03-01,2012.0,3.0,35.41,0.0,6.12
2012-04-01,2012.0,4.0,38.73,4.64,11.37
2012-05-01,2012.0,5.0,39.39,8.89,14.85
2012-06-01,2012.0,6.0,34.63,107.74,20.04
2012-07-01,2012.0,7.0,29.02,106.6,21.89
2012-08-01,2012.0,8.0,28.48,114.39,21.4
2012-09-01,2012.0,9.0,28.55,121.51,21.41
2012-10-01,2012.0,10.0,30.36,76.13,17.43
2012-11-01,2012.0,11.0,30.37,10.4,12.54
2012-12-01,2012.0,12.0,29.81,0.0,12.08
2013-01-01,2013.0,1.0,29.72,0.12,10.49
2013-02-01,2013.0,2.0,31.59,0.07,11.02
2013-03-01,2013.0,3.0,35.6,0.0,8.43
2013-04-01,2013.0,4.0,38.49,0.22,11.2
2013-05-01,2013.0,5.0,39.95,3.38,15.83
2013-06-01,2013.0,6.0,29.6,210.95,21.92
2013-07-01,2013.0,7.0,26.47,160.2,21.84
2013-08-01,2013.0,8.0,26.98,85.23,21.15
2013-09-01,2013.0,9.0,28.34,185.07,21.56
2013-10-01,2013.0,10.0,28.71,64.9,20.23
2013-11-01,2013.0,11.0,28.56,12.61,14.7
2013-12-01,2013.0,12.0,27.21,3.85,12.55
2014-01-01,2014.0,1.0,27.76,0.14,12.68
2014-02-01,2014.0,2.0,29.16,0.07,11.23
2014-03-01,2014.0,3.0,31.77,5.86,13.8
2014-04-01,2014.0,4.0,37.85,3.04,11.85
2014-05-01,2014.0,5.0,38.74,4.01,14.83
2014-06-01,2014.0,6.0,36.97,49.24,19.83
2014-07-01,2014.0,7.0,30.1,152.62,21.18
2014-08-01,2014.0,8.0,28.67,179.7,21.92
2014-09-01,2014.0,9.0,28.47,80.69,21.0
2014-10-01,2014.0,10.0,31.11,12.14,18.19
2014-11-01,2014.0,11.0,30.87,36.92,15.36
2014-12-01,2014.0,12.0,27.52,2.7,11.36
2015-01-01,2015.0,1.0,27.19,0.25,11.78
2015-02-01,2015.0,2.0,31.07,0.07,11.49
2015-03-01,2015.0,3.0,32.61,15.23,13.77
2015-04-01,2015.0,4.0,37.29,0.72,13.4
2015-05-01,2015.0,5.0,40.39,11.98,15.81
2015-06-01,2015.0,6.0,32.76,160.4,21.08
2015-07-01,2015.0,7.0,31.31,57.87,21.28
2015-08-01,2015.0,8.0,29.32,86.74,21.59
2015-09-01,2015.0,9.0,30.36,181.52,20.97
2015-10-01,2015.0,10.0,32.65,55.55,18.0
2015-11-01,2015.0,11.0,30.91,23.39,16.27
2015-12-01,2015.0,12.0,29.98,0.09,11.65
2016-01-01,2016.0,1.0,29.25,0.09,10.31
2016-02-01,2016.0,2.0,32.75,3.17,12.3
2016-03-01,2016.0,3.0,36.03,2.43,12.0
2016-04-01,2016.0,4.0,39.7,0.07,12.93
2016-05-01,2016.0,5.0,39.96,0.11,17.75
2016-06-01,2016.0,6.0,34.38,101.94,21.42
2016-07-01,2016.0,7.0,27.8,242.93,22.36
2016-08-01,2016.0,8.0,27.95,93.51,21.97
2016-09-01,2016.0,9.0,27.98,167.96,21.87
2016-10-01,2016.0,10.0,28.96,78.92,18.74
2016-11-01,2016.0,11.0,29.21,2.46,12.68
2016-12-01,2016.0,12.0,28.65,0.0,11.67
2017-01-01,2017.0,1.0,28.09,0.16,11.35
2017-02-01,2017.0,2.0,32.09,0.07,11.63
2017-03-01,2017.0,3.0,34.91,0.0,9.76
2017-04-01,2017.0,4.0,39.38,0.07,9.49
2017-05-01,2017.0,5.0,40.24,6.15,15.95
2017-06-01,2017.0,6.0,32.15,141.31,22.46
2017-07-01,2017.0,7.0,29.03,59.97,21.88
2017-08-01,2017.0,8.0,28.83,166.79,21.75
2017-09-01,2017.0,9.0,29.62,220.98,22.51
2017-10-01,2017.0,10.0,30.4,102.6,19.27
2017-11-01,2017.0,11.0,29.25,6.89,14.06
2017-12-01,2017.0,12.0,28.35,3.43,12.69
2018-01-01,2018.0,1.0,28.43,0.07,10.94
2018-02-01,2018.0,2.0,30.99,3.0,11.97
2018-03-01,2018.0,3.0,34.48,0.0,11.98
2018-04-01,2018.0,4.0,38.74,1.73,11.85
2018-05-01,2018.0,5.0,40.77,0.0,15.43
2018-06-01,2018.0,6.0,33.38,149.03,21.35
2018-07-01,2018.0,7.0,27.52,102.26,22.01
2018-08-01,2018.0,8.0,27.43,104.7,21.46
2018-09-01,2018.0,9.0,29.83,34.74,20.15
2018-10-01,2018.0,10.0,33.51,11.26,15.24
2018-11-01,2018.0,11.0,31.11,16.95,14.47
2018-12-01,2018.0,12.0,27.85,3.86,10.81
2019-01-01,2019.0,1.0,28.04,0.07,9.29
2019-02-01,2019.0,2.0,30.84,0.23,10.43
2019-03-01,2019.0,3.0,35.5,0.0,9.49
2019-04-01,2019.0,4.0,39.78,3.19,11.2
2019-05-01,2019.0,5.0,40.3,0.0,14.32
2019-06-01,2019.0,6.0,36.1,111.15,20.87
2019-07-01,2019.0,7.0,28.8,183.22,22.52
2019-08-01,2019.0,8.0,27.9,114.16,22.05
2019-09-01,2019.0,9.0,27.84,264.0,22.51
2019-10-01,2019.0,10.0,27.96,136.44,21.32
2019-11-01,2019.0,11.0,28.17,10.65,18.58
2019-12-01,2019.0,12.0,27.19,0.35,16.11
2020-01-01,2020.0,1.0,27.48,0.07,14.07
2020-02-01,2020.0,2.0,30.2,0.07,13.39
2020-03-01,2020.0,3.0,32.78,5.3,13.54
2020-04-01,2020.0,4.0,38.24,0.07,13.3
2020-05-01,2020.0,5.0,39.95,10.56,16.38
2020-06-01,2020.0,6.0,30.7,234.5,22.39
2020-07-01,2020.0,7.0,29.32,196.14,21.69
2020-08-01,2020.0,8.0,27.28,178.02,21.52
2020-09-01,2020.0,9.0,29.05,236.22,21.22
2020-10-01,2020.0,10.0,29.38,157.48,17.69
2020-11-01,2020.0,11.0,28.67,5.83,14.23
2020-12-01,2020.0,12.0,28.02,0.12,11.42
2021-01-01,2021.0,1.0,29.18,0.29,10.62
2021-02-01,2021.0,2.0,29.88,0.09,10.39
2021-03-01,2021.0,3.0,34.62,0.0,9.98
2021-04-01,2021.0,4.0,37.55,6.81,11.22
2021-05-01,2021.0,5.0,36.55,46.15,15.97
2021-06-01,2021.0,6.0,31.23,127.75,20.97
2021-07-01,2021.0,7.0,29.55,117.65,21.69
2021-08-01,2021.0,8.0,28.15,108.37,21.52
2021-09-01,2021.0,9.0,27.71,269.98,21.22
2021-10-01,2021.0,10.0,29.0,96.94,17.69
2021-11-01,2021.0,11.0,29.03,10.18,14.23
2021-12-01,2021.0,12.0,26.13,6.28,11.42
2022-01-01,2022.0,1.0,25.97,0.08,10.62
2022-02-01,2022.0,2.0,30.2,0.07,10.39
2022-03-01,2022.0,3.0,35.24,0.0,9.98
2022-04-01,2022.0,4.0,39.61,0.07,11.22
2022-05-01,2022.0,5.0,39.45,1.29,15.97
2022-06-01,2022.0,6.0,34.01,122.01,20.97
2022-07-01,2022.0,7.0,27.38,164.56,21.69
2022-08-01,2022.0,8.0,28.17,142.51,21.52
2022-09-01,2022.0,9.0,28.25,224.75,21.22
2022-10-01,2022.0,10.0,27.96,167.19,17.69
2022-11-01,2022.0,11.0,28.78,1.75,14.23
2022-12-01,2022.0,12.0,29.15,11.36,11.42
2023-01-01,2023.0,1.0,28.32,0.29,10.62
2023-02-01,2023.0,2.0,31.81,0.07,10.39
2023-03-01,2023.0,3.0,32.11,9.72,9.98
2023-04-01,2023.0,4.0,35.86,16.82,11.22
2023-05-01,2023.0,5.0,38.22,7.21,15.97
2023-06-01,2023.0,6.0,35.57,58.63,20.97
2023-07-01,2023.0,7.0,28.15,218.43,21.69
2023-08-01,2023.0,8.0,28.64,25.88,21.52
2023-09-01,2023.0,9.0,28.64,239.55,21.22
2023-10-01,2023.0,10.0,30.71,7.69,17.69
2023-11-01,2023.0,11.0,29.59,61.5,14.23
2023-12-01,2023.0,12.0,27.36,11.45,11.42
2024-01-01,2024.0,1.0,28.26,0.3,10.62
2024-02-01,2024.0,2.0,30.98,1.91,10.39
2024-03-01,2024.0,3.0,34.79,0.0,9.98
2024-04-01,2024.0,4.0,37.97,7.37,11.22
2024-05-01,2024.0,5.0,39.15,8.04,15.97
2024-06-01,2024.0,6.0,32.24,196.15,20.97
2024-07-01,2024.0,7.0,27.6,138.42,21.69
2024-08-01,2024.0,8.0,28.0,146.64,21.52
2024-09-01,2024.0,9.0,28.08,183.35,21.22
2024-10-01,2024.0,10.0,29.75,83.19,17.69
2024-11-01,2024.0,11.0,29.44,4.04,14.23
2024-12-01,2024.0,12.0,28.36,5.22,11.42
2025-01-01,2025.0,1.0,28.95,1.15,10.62
2025-02-01,2025.0,2.0,32.1,2.09,10.39
2025-03-01,2025.0,3.0,35.52,0.0,9.98
2025-04-01,2025.0,4.0,39.03,0.87,11.22
2025-05-01,2025.0,5.0,33.99,87.12,15.97
2025-06-01,2025.0,6.0,30.5,118.06,20.97
2025-07-01,2025.0,7.0,27.68,112.84,21.69
2025-08-01,2025.0,8.0,27.54,0.0,21.52
2025-09-01,2025.0,9.0,26.92,0.0,21.22
2025-10-01,2025.0,10.0,31.47,0.0,17.69
2025-11-01,2025.0,11.0,31.47,0.0,14.23
2025-12-01,2025.0,12.0,31.47,0.0,11.42
